src/suncertify/business/BasicContractorService.java:39:	Found 'DD'-anomaly for variable 'recordNumber' (lines '39'-'43').
src/suncertify/business/BasicContractorService.java:80:	Found 'UR'-anomaly for variable 'recordNumber' (lines '80'-'87').
src/suncertify/business/BasicContractorService.java:82:	Found 'DU'-anomaly for variable 'matchingRecords' (lines '82'-'95').
src/suncertify/db/DBMain.java:4:	headerCommentRequirement Required
src/suncertify/db/DBMain.java:7:	Avoid modifiers which are implied by the context
src/suncertify/db/DBMain.java:7:	publicMethodCommentRequirement Required
src/suncertify/db/DBMain.java:11:	Avoid modifiers which are implied by the context
src/suncertify/db/DBMain.java:11:	publicMethodCommentRequirement Required
src/suncertify/db/DBMain.java:17:	Avoid modifiers which are implied by the context
src/suncertify/db/DBMain.java:17:	publicMethodCommentRequirement Required
src/suncertify/db/DBMain.java:26:	Avoid modifiers which are implied by the context
src/suncertify/db/DBMain.java:26:	publicMethodCommentRequirement Required
src/suncertify/db/DBMain.java:33:	Avoid modifiers which are implied by the context
src/suncertify/db/DBMain.java:33:	publicMethodCommentRequirement Required
src/suncertify/db/DBMain.java:39:	Avoid modifiers which are implied by the context
src/suncertify/db/DBMain.java:39:	publicMethodCommentRequirement Required
src/suncertify/db/DBMain.java:43:	Avoid modifiers which are implied by the context
src/suncertify/db/DBMain.java:43:	publicMethodCommentRequirement Required
src/suncertify/db/DBMain.java:48:	Avoid modifiers which are implied by the context
src/suncertify/db/DBMain.java:48:	publicMethodCommentRequirement Required
src/suncertify/db/DBMainExtended.java:5:	headerCommentRequirement Required
src/suncertify/db/DBMainExtended.java:91:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:1:	Too many static imports may lead to messy code
src/suncertify/db/Data.java:21:	Avoid short class names like Data
src/suncertify/db/Data.java:21:	headerCommentRequirement Required
src/suncertify/db/Data.java:23:	fieldCommentRequirement Required
src/suncertify/db/Data.java:24:	fieldCommentRequirement Required
src/suncertify/db/Data.java:25:	fieldCommentRequirement Required
src/suncertify/db/Data.java:27:	fieldCommentRequirement Required
src/suncertify/db/Data.java:29:	fieldCommentRequirement Required
src/suncertify/db/Data.java:30:	fieldCommentRequirement Required
src/suncertify/db/Data.java:31:	fieldCommentRequirement Required
src/suncertify/db/Data.java:33:	fieldCommentRequirement Required
src/suncertify/db/Data.java:35:	fieldCommentRequirement Required
src/suncertify/db/Data.java:36:	fieldCommentRequirement Required
src/suncertify/db/Data.java:37:	fieldCommentRequirement Required
src/suncertify/db/Data.java:39:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:46:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:51:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:63:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:68:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:84:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:89:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:97:	To be compliant to J2EE, a webapp should not use any thread.
src/suncertify/db/Data.java:112:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:117:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:124:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:129:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:141:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:149:	Found 'UR'-anomaly for variable 'fieldValues' (lines '149'-'154').
src/suncertify/db/Data.java:149:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:160:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:168:	publicMethodCommentRequirement Required
src/suncertify/db/Data.java:176:	Found 'DD'-anomaly for variable 'fieldValues' (lines '176'-'179').
src/suncertify/db/Data.java:176:	Found 'DU'-anomaly for variable 'fieldValues' (lines '176'-'187').
src/suncertify/db/Data.java:179:	Found 'DD'-anomaly for variable 'fieldValues' (lines '179'-'179').
src/suncertify/db/Data.java:179:	Found 'DU'-anomaly for variable 'fieldValues' (lines '179'-'187').
src/suncertify/db/Data.java:208:	Found 'DD'-anomaly for variable 'isMatch' (lines '208'-'213').
src/suncertify/db/Data.java:229:	Found 'DU'-anomaly for variable 'recordNumber' (lines '229'-'236').
src/suncertify/db/Data.java:233:	Found 'DU'-anomaly for variable 'recordNumber' (lines '233'-'236').
src/suncertify/domain/Contractor.java:31:	publicMethodCommentRequirement Required
src/suncertify/domain/Contractor.java:85:	publicMethodCommentRequirement Required
src/suncertify/domain/Contractor.java:139:	publicMethodCommentRequirement Required
src/suncertify/domain/ContractorPk.java:20:	publicMethodCommentRequirement Required
src/suncertify/domain/ContractorPk.java:25:	publicMethodCommentRequirement Required
src/suncertify/domain/ContractorPk.java:30:	publicMethodCommentRequirement Required
src/suncertify/domain/ContractorPk.java:34:	publicMethodCommentRequirement Required
src/suncertify/domain/ContractorPk.java:38:	publicMethodCommentRequirement Required
src/suncertify/domain/ContractorPk.java:42:	publicMethodCommentRequirement Required
src/suncertify/domain/ContractorPk.java:46:	publicMethodCommentRequirement Required
src/suncertify/ui/CliLauncher.java:11:	headerCommentRequirement Required
src/suncertify/ui/CliLauncher.java:13:	fieldCommentRequirement Required
src/suncertify/ui/CliLauncher.java:14:	fieldCommentRequirement Required
src/suncertify/ui/CliLauncher.java:15:	fieldCommentRequirement Required
src/suncertify/ui/CliLauncher.java:16:	fieldCommentRequirement Required
src/suncertify/ui/CliLauncher.java:18:	publicMethodCommentRequirement Required
src/suncertify/ui/DatabaseFileChooser.java:8:	headerCommentRequirement Required
src/suncertify/ui/DatabaseFileChooser.java:13:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorModel.java:7:	headerCommentRequirement Required
src/suncertify/ui/model/ContractorModel.java:9:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorModel.java:11:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTable.java:13:	headerCommentRequirement Required
src/suncertify/ui/model/ContractorTable.java:18:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTable.java:25:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTable.java:30:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTable.java:35:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTable.java:40:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTable.java:46:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTableModel.java:10:	headerCommentRequirement Required
src/suncertify/ui/model/ContractorTableModel.java:15:	fieldCommentRequirement Required
src/suncertify/ui/model/ContractorTableModel.java:16:	fieldCommentRequirement Required
src/suncertify/ui/model/ContractorTableModel.java:18:	publicMethodCommentRequirement Required
src/suncertify/ui/model/ContractorTableModel.java:25:	publicMethodCommentRequirement Required
